Date,RAR_Energy,RAR_Metals,RAR_Auto,RAR_Technology,RAR_Chevron,RAR_Halliburton,RAR_Alcoa,RAR_Nucor,RAR_USSteel,RAR_Ford,RAR_Tesla,RAR_Google,RAR_Microsoft
2019-07-23,-6.01356323735665,4.74998005584364,9.152346570397105,9.986473580724695,-1.9930077343070423,-17.16581747464489,-19.96465158045977,-5.731619739135818,-22.949338758901327,18.240569395017797,-7.940425879533805,-5.629318001452133,17.770812003422915
2019-07-24,-6.9386909290640215,4.1381899109792375,9.532687942465445,10.500190928376613,-1.8656879442887178,-19.98611993085833,-20.12743078692146,-6.345182481751818,-22.4001101561339,18.146756126021,-4.100636758321234,-6.312283891674397,17.300398060729783
2019-07-25,-7.792025910435581,0.8783725509500875,4.819451673896118,9.363236651285428,-2.1306273924060304,-23.052518796992484,-22.57072955413243,-7.107303634096942,-25.93352352352353,7.475057471264384,-16.86021524750839,-7.976170820933887,16.74852071128736
2019-07-26,-9.103383551394312,-0.5879239737435049,8.165404971932631,10.28783109106461,-3.197930054087264,-25.908368770764127,-22.07961029317088,-5.842187328557622,-25.625261718641973,10.035934195064636,-19.07204495614034,-0.2598196740175336,17.848890068130288
2019-07-29,-10.061748071979434,-1.2477148948541537,6.611591320072334,7.504126646833818,-3.7250881829406635,-28.595115640309068,-23.817279836790213,-7.6833151989119415,-27.2083214176513,8.041806674338321,-16.38883512152398,-1.7909610731279528,14.879929984113048
2019-07-30,-6.5163399744256125,1.6478265204386915,8.458308474968211,9.37998577834423,-1.3944828656912136,-21.658169161155588,-20.475433212466807,-3.7257894736842108,-20.115605028810894,9.416697892271683,-10.828696058571525,-0.7808038699028212,17.496025119879754
2019-07-31,-7.021925829672248,-2.6966179086776108,7.9344303651653085,8.177051168016465,-2.230976481576834,-20.96524079320113,-22.14590292648109,-6.805217925541176,-23.71890052356022,9.575898942420677,-9.632958788765887,-0.4250914328552706,13.406759618672119
2019-08-01,-10.524427456083274,-4.853060151839586,4.925074372658122,6.975329215871886,-5.141007074784674,-26.32991302844795,-24.959022420151697,-9.224186983038058,-26.863690138069213,3.8685388127853964,-15.077591116719912,-0.351110194680321,14.679299734058194
2019-08-02,-11.100252052662825,-6.795073095168952,5.2388659793814405,5.746341649893113,-4.067659404856595,-28.8605856607348,-28.18720888570405,-11.090940996841232,-33.094960835509134,5.266612529002323,-17.1227467125452,-0.6023067260182022,14.849014744515227
2019-08-05,-14.125986413985839,-7.465730892182505,2.1289840659961685,0.9691632921132722,-5.859108359919732,-32.80138299344354,-30.39000357270454,-14.302941893837936,-37.15811840960364,2.865153933865461,-20.43326577321683,-3.76383554844287,10.687653296844275
2019-08-06,-14.016155889263452,-7.240678941311847,3.2720365771054456,1.6456587333353743,-5.434918817989937,-34.261257061817645,-31.717901278409094,-14.363707352654915,-37.85538737814264,5.622665148063794,-19.898060057672772,-2.6363693263268972,11.852136438830978
2019-08-07,-15.896346192606927,-6.80779937422964,1.7332242370632454,0.8308698952482128,-7.054246763658614,-37.184244684945085,-35.91699706507119,-16.548479553985594,-41.43707196029777,3.7447216035634625,-21.662111154261854,-4.091274834021251,11.28157150886166
2019-08-08,-12.756473429951694,-6.498006059458436,2.720909090909096,2.9864806756521514,-3.7307596253902267,-35.80353595746372,-31.872451664244867,-14.674595316705481,-38.49644254892122,3.7343285238623833,-19.01334219404443,-2.0109799451564223,14.15822943991559
2019-08-09,-13.041117988236023,-8.927052690898838,0.0010444516900212086,0.7945030358978848,-3.5765372603643306,-37.171156030738395,-35.432877900213384,-18.10475847755832,-42.260262481523824,1.1149288061336087,-21.854721908090887,-3.8751731211826113,12.397034968850273
2019-08-12,-15.06602771738026,-12.486153846153849,-3.1630298475413348,-0.05388252321794651,-4.994166604066508,-38.58329388560158,-39.160230905762006,-21.072042525831268,-43.84363701986782,-1.8488744588744705,-16.868300161231236,-5.706049382716047,11.375073611217534
2019-08-13,-15.638076730942155,-11.650808926080886,-3.3411595596879198,2.028939814745304,-5.577786002021614,-39.49041773007484,-37.71994366598794,-19.723994353830854,-41.351693548387104,-2.2818918918918945,-16.92302272088624,-3.2084550658478292,13.215978109983972
2019-08-14,-19.606088685623384,-14.127930082796684,-7.650442930153325,-1.6159621120937926,-9.43715345753079,-43.79898557305896,-43.377977073499665,-22.204732142857143,-43.8187031408308,-5.60580645161291,-21.99200621544667,-5.665321915116257,9.33516384557658
2019-08-15,-18.948703517183034,-12.967826086956524,-8.472933276028787,-1.2652684422533658,-9.212443788095882,-43.13598314722438,-44.225670103092774,-21.285705302515296,-40.97438942037141,-6.17021715526603,-23.18083622401874,-4.874907120566412,9.702429678675628
2019-08-16,-18.323511664760993,-11.85902952792928,-8.233606714118762,-0.09492537313433669,-10.09376217569149,-41.58747296367678,-42.27708404802745,-18.643098059419533,-36.98869565217392,-6.345702036441578,-22.70890786399194,-4.422990881646672,10.88233691218343
2019-08-19,-16.551412529076764,-10.834976303317536,-7.745647158429457,1.6257085643409095,-9.269435778862388,-40.42487378061303,-38.39263601263601,-15.835866601555981,-27.90427048985798,-6.213865814696498,-17.874376061873654,-2.8921914049607578,12.645348374879934
2019-08-20,-17.54412329863892,-12.177989165966181,-9.563571054011526,0.3555810985292589,-5.421066248646186,-41.553744015320774,-37.6674890322556,-18.63530549632208,-28.85356033452807,-7.57518518518517,-18.01943465182797,-5.278653092880967,11.094909801196613
2019-08-21,-16.406894274901365,-11.854671669793618,-8.305847681419667,1.6159320624740308,-4.261140351932248,-42.93609010686832,-35.79745133381398,-17.423182554639638,-29.90842175514194,-5.488252947481254,-19.479633660567007,-4.8245172385554,12.275092573603633
2019-08-22,-17.3657982957955,-12.856898763595794,-8.473454009682165,0.8423510899997702,-5.218982468250936,-43.687763008731935,-37.264561143021695,-18.33671734873382,-31.97427207637232,-5.798803418803422,-21.11354265070552,-5.444056832838523,11.704625670728468
2019-08-23,-20.173427759204017,-12.901549611895641,-12.41707205331113,-3.155315490661247,-6.622141953075792,-46.29630262741376,-39.33083466597528,-21.441722413793105,-35.28315726290516,-10.074210526315794,-24.44877546406508,-9.269178755371843,7.15258215182512
2019-08-26,-19.345929801964264,-10.56327731092437,-12.45072862761334,-2.035294643249503,-5.807346041737475,-46.15412925744071,-37.96639909977494,-19.935213913043476,-34.58680876979293,-10.013979057591627,-23.690354631492998,-7.8279146136202815,7.421678452013979
2019-08-27,-21.54279640293445,-8.050743761530244,-11.949827712995058,-2.416306559102079,-7.369491304684315,-46.712936635574145,-42.93726156884369,-20.589366444366448,-38.20626717465753,-10.179473684210528,-20.913308031334278,-8.876023726241568,7.290028124110725
